title,company,location,qualifications
PowerShell Developer - Server Security Project,Venn Health Partners,"New York, NY","['Microsoft Windows Server', 'GPO', 'Windows', 'Databases', 'SQL', 'AWS', 'Analysis skills', 'Cloud security', 'NIST standards', 'Scripting', 'ISO 27001', 'Cybersecurity', 'Senior level', 'Communication skills', 'Python', 'PowerShell', 'Active Directory', '10 years']"
Developer,Black Owl Recruiting,"New York, NY",[]
JavaScript Developer (Mandarin MUST - Will Train - Nationwide),Visa One Corporation,"New York, NY","['Visa sponsorship', 'Health insurance', 'Green card sponsorship', 'Mandarin', 'AJAX', 'Node.js', 'CSS', 'Bootstrap', 'React', 'No experience needed', 'English', 'UI design', ""Master's degree"", ""Bachelor's degree"", 'JavaScript', 'Back-end development', 'SASS', 'Usability', 'REST', 'Angular', 'UX', 'Organizational skills', 'Agile', 'Web services', 'JSON', '1 year', '2 years', 'Communication skills', 'React Native', 'Entry level', 'HTML', 'Under 1 year']"
Sitecore Developer,Black Owl Recruiting,"Manhattan, NY",[]
Software Engineer - Full-Stack,Accrete,"New York, NY","['Computer science', 'Management', '5 years', 'Mid-level', 'Microsoft System Center', '.NET', 'IT infrastructure', 'Business development', ""Driver's License"", ""Bachelor's degree"", 'SRE', 'Splunk', 'APIs', 'IT', '2 years', 'High availability', 'Information Technology']"
Front-End Developer,TXR,United States,[]
Frontend Engineer,Focus AI,"New York, NY","['CSS', 'React', 'RESTful API', 'Mid-level', 'JavaScript', 'UX', 'APIs', '1 year', 'AI', 'TypeScript', 'HTML']"
Frontend Engineer,Accrete,"New York, NY",[]
DevOps Engineer,Focus AI,"New York, NY","['Opportunities for advancement', 'CI/CD', 'Cloud infrastructure', 'Kubernetes', 'DevOps', 'Mid-level', 'Bash', 'AWS', 'Docker', 'Terraform', 'Scripting', 'GitHub', 'CircleCI', '1 year', 'AI', 'Jenkins', 'Communication skills', 'Python', 'Shell Scripting']"
Backend Engineer,Focus AI,"New York, NY",[]
Software Developer - AI Trainer,DataAnnotation,"New York, NY","['Kotlin', 'Go', 'CSS', 'React', 'Writing skills', 'C#', 'English', 'Mid-level', 'Java', 'SQL', 'C++', 'C', ""Bachelor's degree"", 'JavaScript', 'Swift', 'AI', 'Grammar Experience', 'TypeScript', 'Python', 'HTML']"
"Sr. Software Engineer, Scala",Disney Entertainment & ESPN Technology,"New York, NY",[]
Full Stack Developer,Rethink,"New York, NY","['MVC', 'CSS', 'Mobile applications', '.NET Core', 'C#', 'Microsoft SQL Server', 'Mid-level', '.NET', 'SQL', 'JavaScript', 'Angular', 'TypeScript', 'HTML', 'Design patterns']"
Back End Developer,Technology Holdings North America Inc.,"New York, NY",[]
Principal Performance Engineer (Trading),Fidelity Investments,"Jersey City, NJ","['Loan repayment program', 'Health insurance', 'Tuition reimbursement', 'Paid time off', 'Parental leave', 'Computer science', 'Ethereum', 'Oracle', 'Computer Science', 'Relational databases', 'Cucumber', 'Test automation', 'Employment & labor law', 'Selenium', 'Performance testing', 'Java', 'Databases', 'SQL', 'AWS', ""Bachelor's degree"", 'Splunk', 'Scripting', 'Scrum', 'Agile', 'IT', 'S3', 'Senior level', 'Cryptocurrency', 'Mechanical knowledge', 'Python', 'Shell Scripting', '10 years']"
"Senior Manager, Software Engineering, Full Stack",Capital One,"New York, NY",[]
"Senior DevOps Architect, Trilogy (Remote) - $400,000/year USD",Crossover,"New York, NY","['Cloud architecture', 'Kubernetes', '5 years', 'DevOps', 'AWS', 'Docker', 'Senior level', 'SaaS', 'AI', 'Leadership']"
Sr. Java Developer,Black Owl Recruiting,"New York, NY",[]
Full Stack Developer,Rowan Technology,"New York, NY","['Health savings account', 'Health insurance', 'Dental insurance', '401(k)', 'Flexible spending account', 'Paid time off', 'Vision insurance', '401(k) matching', 'Life insurance', 'Retirement plan', 'Computer science', 'Kotlin', 'Management', 'Node.js', 'React', 'Bachelor of Science', 'Mid-level', 'Java', 'AWS', 'Docker', 'Bootcamp', ""Bachelor's degree"", 'Ruby on Rails', 'PostgreSQL', 'Angular', 'Ruby', 'Software development', 'GraphQL', '1 year', 'gRPC', 'Leadership', 'TypeScript', 'Communication skills']"
Founding Full-Stack Software Engineer,Fonzi AI,"Brooklyn, NY",[]
PowerShell Developer - Server Security Project,Venn Health Partners,"New York, NY","['Microsoft Windows Server', 'GPO', 'Windows', 'Databases', 'SQL', 'AWS', 'Analysis skills', 'Cloud security', 'NIST standards', 'Scripting', 'ISO 27001', 'Cybersecurity', 'Senior level', 'Communication skills', 'Python', 'PowerShell', 'Active Directory', '10 years']"
Developer,Black Owl Recruiting,"New York, NY",[]
